Mr.	NP0	mr.
Sherlock	NP0	sherlock
Holmes	NP0	holmes
,	PUN	,
who	PNQ	who
was	VBD	be
usually	AV0	usually
very	AV0	very
late	AJ0	late
in	PRP	in
the	AT0	the
mornings	NN2	morning
,	PUN	,
save	VVB	save
upon	PRP	upon
those	DT0	those
not	XX0	not
infrequent	AJ0	infrequent
occasions	NN2	occasion
when	CJS	when
he	PNP	he
was	VBD	be
up	AVP	up
all	DT0	all
night	NN1	night
,	PUN	,
was	VBD	be
seated	VVN	seat|seated
at	PRP	at
the	AT0	the
breakfast	NN1	breakfast
table	NN1	table
.	SENT	.
I	PNP	i
stood	VVD	stand
upon	PRP	upon
the	AT0	the
hearth-rug	NN1	hearth-rug
and	CJC	and
picked	VVD	pick|picked
up	AVP	up
the	AT0	the
stick	NN1	stick
which	DTQ	which
our	DPS	we
visitor	NN1	visitor
had	VHD	have
left	VVN	leave|left
behind	PRP	behind
him	PNP	he
the	AT0	the
night	NN1	night
before	AV0	before
.	SENT	.
It	PNP	it
was	VBD	be
a	AT0	a
fine	AJ0	fine
,	PUN	,
thick	AJ0	thick
piece	NN1	piece
of	PRF	of
wood	NN1	wood
,	PUN	,
bulbous-headed	AJ0	bulbous-headed
,	PUN	,
of	PRF	of
the	AT0	the
sort	NN1	sort
which	DTQ	which
is	VBZ	be
known	VVN	know|known
as	PRP	as
a	AT0	a
""""	PUQ	""""
Penang	NP0	penang
lawyer	NN1	lawyer
.	SENT	.
""""	PUQ	""""
Just	AV0	just
under	PRP	under
the	AT0	the
head	NN1	head
was	VBD	be
a	AT0	a
broad	AJ0	broad
silver	NN1	silver
band	NN1	band
nearly	AV0	nearly
an	AT0	an
inch	NN1	inch
across	AV0	across
.	SENT	.
""""	PUQ	""""
To	PRP	to
James	NP0	james
Mortimer	NP0	mortimer
,	PUN	,
M.R.C.S.	NP0	M.R.C.S.
,	PUN	,
from	PRP	from
his	DPS	he
friends	NN2	friend
of	PRF	of
the	AT0	the
C.C.H.	NP0	C.C.H.
,	PUN	,
""""	PUQ	""""
was	VBD	be
engraved	VVN	engrave|engraved
upon	PRP	upon
it	PNP	it
,	PUN	,
with	PRP	with
the	AT0	the
date	NN1	date
""""	PUQ	""""
1884.	CRD	@ord@
""""	PUQ	""""
It	PNP	it
was	VBD	be
just	AV0	just
such	DT0	such
a	AT0	a
stick	NN1	stick
as	PRP	as
the	AT0	the
old-fashioned	AJ0	old-fashioned
family	NN1	family
practitioner	NN1	practitioner
used	VVN	use|used
to	TO0	to
carry	VVI	carry
---	AJ0	---
dignified	AJ0	dignified
,	PUN	,
solid	AJ0	solid
,	PUN	,
and	CJC	and
reassuring	AJ0	reassuring|reassure
.	SENT	.
""""	PUQ	""""
Well	AV0	well
,	PUN	,
Watson	NP0	watson
,	PUN	,
what	DTQ	what
do	VDB	do
you	PNP	you
make	VVI	make
of	PRF	of
it	PNP	it
?	SENT	?
""""	PUQ	""""
Holmes	NP0	holmes
was	VBD	be
sitting	VVG	sit|sitting
with	PRP	with
his	DPS	he
back	NN1	back
to	PRP	to
me	PNP	i
,	PUN	,
and	CJC	and
I	PNP	i
had	VHD	have
given	VVN	give|given
him	PNP	he
no	AT0	no
sign	NN1	sign
of	PRF	of
my	DPS	i
occupation	NN1	occupation
.	SENT	.
""""	PUQ	""""
How	AVQ	how
did	VDD	do
you	PNP	you
know	VVI	know
what	DTQ	what
I	PNP	i
was	VBD	be
doing	VDG	do
?	SENT	?
I	PNP	i
believe	VVB	believe
you	PNP	you
have	VHB	have
eyes	NN2	eye
in	PRP	in
the	AT0	the
back	NN1	back
of	PRF	of
your	DPS	you
head	NN1	head
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
I	PNP	i
have	VHB	have
,	PUN	,
at	PRP	at
least	AV0	least
,	PUN	,
a	AT0	a
well-polished	AJ0	well-polished
,	PUN	,
silver-plated	AJ0	silver-plated
coffee-pot	NN1	coffee-pot
in	PRP	in
front	NN1	front
of	PRF	of
me	PNP	i
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
he	PNP	he
.	SENT	.
""""	PUQ	""""
But	CJC	but
,	PUN	,
tell	VVB	tell
me	PNP	i
,	PUN	,
Watson	NP0	watson
,	PUN	,
what	DTQ	what
do	VDB	do
you	PNP	you
make	VVI	make
of	PRF	of
our	DPS	we
visitor	NN1	visitor
's	POS	's
stick	NN1	stick
?	SENT	?
Since	CJS	since
we	PNP	we
have	VHB	have
been	VBN	be
so	AV0	so
unfortunate	AJ0	unfortunate
as	CJS	as
to	TO0	to
miss	VVI	miss
him	PNP	he
and	CJC	and
have	VHB	have
no	AT0	no
notion	NN1	notion
of	PRF	of
his	DPS	he
errand	NN1	errand
,	PUN	,
this	DT0	this
accidental	AJ0	accidental
souvenir	NN1	souvenir
becomes	VVZ	become
of	PRF	of
importance	NN1	importance
.	SENT	.
Let	VVB	let
me	PNP	i
hear	VVI	hear
you	PNP	you
reconstruct	VVI	reconstruct
the	AT0	the
man	NN1	man
by	PRP	by
an	AT0	an
examination	NN1	examination
of	PRF	of
it	PNP	it
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
I	PNP	i
think	VVB	think
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
I	PNP	i
,	PUN	,
following	VVG	follow|following
as	CJS	as
far	AV0	far
as	CJS	as
I	PNP	i
could	VM0	could
the	AT0	the
methods	NN2	method
of	PRF	of
my	DPS	i
companion	NN1	companion
,	PUN	,
""""	PUQ	""""
that	CJT	that
Dr.	NP0	dr.
Mortimer	NP0	mortimer
is	VBZ	be
a	AT0	a
successful	AJ0	successful
,	PUN	,
elderly	AJ0	elderly
