Sherlock	NP0	sherlock
Holmes	NP0	holmes
took	VVD	take
his	DPS	he
bottle	NN1	bottle
from	PRP	from
the	AT0	the
corner	NN1	corner
of	PRF	of
the	AT0	the
mantel-piece	NN1	mantel-piece
and	CJC	and
his	DPS	he
hypodermic	AJ0	hypodermic
syringe	NN1	syringe
from	PRP	from
its	DPS	it
neat	AJ0	neat
morocco	NN1	morocco
case	NN1	case
.	SENT	.
With	PRP	with
his	DPS	he
long	AJ0	long
,	PUN	,
white	AJ0	white
,	PUN	,
nervous	AJ0	nervous
fingers	NN2	finger
he	PNP	he
adjusted	VVD	adjust
the	AT0	the
delicate	AJ0	delicate
needle	NN1	needle
,	PUN	,
and	CJC	and
rolled	VVD	roll|rolled
back	AVP	back
his	DPS	he
left	AJ0	left|leave
shirt-cuff	NN1	shirt-cuff
.	SENT	.
For	PRP	for
some	DT0	some
little	AJ0	little
time	NN1	time
his	DPS	he
eyes	NN2	eye
rested	VVD	rest
thoughtfully	AV0	thoughtfully
upon	PRP	upon
the	AT0	the
sinewy	AJ0	sinewy
forearm	NN1	forearm
and	CJC	and
wrist	NN1	wrist
all	AV0	all
dotted	VVN	dot|dotted
and	CJC	and
scarred	VVN	scar
with	PRP	with
innumerable	AJ0	innumerable
puncture-marks	NN2	puncture-marks
.	SENT	.
Finally	AV0	finally
he	PNP	he
thrust	VVD	thrust
the	AT0	the
sharp	AJ0	sharp
point	NN1	point
home	NN1	home
,	PUN	,
pressed	VVD	press
down	AVP	down
the	AT0	the
tiny	AJ0	tiny
piston	NN1	piston
,	PUN	,
and	CJC	and
sank	VVD	sink
back	AVP	back
into	PRP	into
the	AT0	the
velvet-lined	AJ0	velvet-lined
arm-chair	NN1	arm-chair
with	PRP	with
a	AT0	a
long	AJ0	long
sigh	NN1	sigh
of	PRF	of
replaced-dns	NN2	replaced-dns
"<repdns text=""satisfaction.Three"" />"
times	PRP	times
a	AT0	a
day	NN1	day
for	PRP	for
many	DT0	many
months	NN2	month
I	PNP	i
had	VHD	have
witnessed	VVN	witness
this	DT0	this
performance	NN1	performance
,	PUN	,
but	CJC	but
custom	NN1	custom
had	VHD	have
not	XX0	not
reconciled	VVN	reconcile|reconciled
my	DPS	i
mind	NN1	mind
to	PRP	to
it	PNP	it
.	SENT	.
On	PRP	on
the	AT0	the
contrary	NN1	contrary
,	PUN	,
from	PRP	from
day	NN1	day
to	PRP	to
day	NN1	day
I	PNP	i
had	VHD	have
become	VVN	become
